manager,directness,width,tempo,raw_directness,raw_width,raw_tempo
Nenad Bjelica,4,7,10,0.22685185185185186,0.35462962962962963,1006.0
Xabier Alonso Olano,4,6,10,0.22588770772216749,0.32379797841616165,946.3126115366481
Sebastian Hoeneß,4,6,10,0.2159484192133212,0.34137029973734456,1005.2331468781597
Edin Terzić,4,7,10,0.23157184771510944,0.3525769755634098,991.7483735807648
Steffen Baumgart,4,6,10,0.22460776218001652,0.3261767134599505,900.0
Heiko Butscher,5,5,10,0.25313807531380755,0.27510460251046026,891.0
Pellegrino Matarazzo,4,6,10,0.24134773199501106,0.32401856305142035,964.1480982847768
Ole Werner,4,6,10,0.21921648525849172,0.30569635638506715,903.3056310091982
Dino Toppmöller,4,6,10,0.22226551657837593,0.3122792426698748,953.401751325057
Jess Christian Thorup,4,6,10,0.23756964798520855,0.33443112537844105,877.3142510376067
Torsten Lieberknecht,4,5,10,0.23177953965344528,0.2998735151275447,960.1516995980494
Bo Henriksen,4,6,10,0.22355105795768165,0.32566697332106714,1008.9999999999999
Niko Kovač,4,7,10,0.22790969327964355,0.3542149938675593,869.0260546455504
Christian Streich,4,5,10,0.2203226937358254,0.29443413901343407,884.4261606108258
Thomas Tuchel,4,6,10,0.22097722408570644,0.32611246422071427,1031.4248177270852
Urs Fischer,4,5,10,0.23150357995226734,0.29594272076372313,858.0
Frank Schmidt,4,5,10,0.22124883715266258,0.29286946333114244,1061.5413805570224
Timo Schultz,4,7,10,0.24668435013262596,0.38992042440318303,828.0
Gerardo Seoane Castro,4,6,10,0.21280387308734097,0.3227594188602384,962.3768009308243
Marco Rose,4,6,10,0.204726180591241,0.3499424818848191,956.9494334673168
Thomas Letsch,4,6,10,0.21284080914687775,0.3007915567282322,989.0
Bo Svensson,4,6,10,0.22719449225473323,0.3003442340791738,893.0
Roger Schmidt,4,6,10,0.24943270932864786,0.3232655089501571,1165.3637563101543
Ralph Hasenhüttl,4,5,10,0.24852660173022742,0.2829903776607185,1180.9856222088574
André Schubert,4,6,10,0.24737216657799654,0.3261959633770314,1116.6894256393036
Pál Dárdai,4,7,10,0.2465915581947468,0.3742696126320562,1140.1099936202452
André Breitenreiter,5,7,10,0.2723319505260217,0.3670641694355482,1207.325256059549
Peter Stöger,5,6,10,0.2504691899620426,0.30343625472722563,1080.046728565607
Dieter Hecking,4,6,10,0.24429545128568989,0.33892040640308624,1205.7418706430192
Jürgen Kramny,5,6,10,0.2665198237885463,0.34251101321585903,1210.0
Bruno Labbadia,4,6,10,0.22951520159056965,0.3039232487878955,1233.263401115464
Markus Weinzierl,5,6,10,0.25033417883500736,0.34413818061251633,1129.3248772815384
Viktor Skripnik,4,5,10,0.2415335270327143,0.2947787364707546,1187.724570387296
Martin Schmidt,4,6,10,0.2202258205416967,0.32864727328818183,1225.8993777132425
Markus Krösche,4,6,10,0.22045454545454546,0.3215909090909091,1331.0000000000002
Dirk Schuster,5,5,10,0.2536109719334015,0.27219408854669463,1127.804168394332
Josep Guardiola i Sala,4,6,10,0.24396661230920577,0.3142964052179648,1090.2235085922794
Thomas Schaaf,5,7,10,0.2702078521939954,0.3568129330254042,1176.0
Huub Stevens,5,6,10,0.27197518097207857,0.3474663908996898,1117.0
Armin Veh,4,6,10,0.22146892655367234,0.34576271186440677,1183.0
Alexander Zorniger,5,6,10,0.25227272727272726,0.30113636363636365,1240.0
Michael Frontzeck,4,6,10,0.248642779587405,0.30836047774158526,1188.0
Markus Gisdol,4,6,10,0.23241206030150757,0.30904522613065327,1240.0
Mauricio Roberto Pochettino Trossero,4,7,10,0.23759177257237934,0.3632449408568375,971.7436157245198
Jürgen Klopp,4,6,10,0.22092262925860084,0.32271949041526626,986.6757975928391
Zinédine Zidane,4,6,10,0.24397021059852106,0.3349579249736264,1036.4752136711093
Massimiliano Allegri,5,6,10,0.2506565996589013,0.33924861404593315,1009.0969210238939
Diego Pablo Simeone,4,7,10,0.2340521500331086,0.368663728474334,1045.0209112791238
Luis Enrique Martínez García,4,6,10,0.23335263445422602,0.3425906872827305,1019.8886212922461
Carlo Ancelotti,4,6,10,0.2377585745790567,0.3330474411401548,1148.5175072820234
Josef Heynckes,5,6,10,0.254410514201159,0.3193203630340729,1218.6292391385598
Roberto Di Matteo,5,6,10,0.2592885375494071,0.32806324110671936,1485.0000000000002
Alex Ferguson,4,5,10,0.23545902628670776,0.29952125370506333,1053.4533427985657
Louis van Gaal,4,7,10,0.23038292624594908,0.3515735792895117,1023.0870891825386
José Mario Felix dos Santos Mourinho,4,6,10,0.24899193169612902,0.32450832661024803,1044.9730945579608
Rafael Benítez Maudes,5,6,10,0.26456927845966755,0.30915045675718,1295.9927718339854
Didier Deschamps,4,7,10,0.23914700737694292,0.3775243795672912,968.8646473117276
,4,6,10,0.2413754953215436,0.3110035520814843,1048.259884688737
Ștefan Kovács,5,6,10,0.28273441507414515,0.3014995020633927,1332.3202648857814
Cestmir Vycpalek,5,6,10,0.28484107579462103,0.30440097799511007,1345.0
Giovanni Invernizzi,5,5,10,0.2785276073619632,0.29570552147239265,1307.0
Rinus Michels,5,5,10,0.27190922033960896,0.257987459199791,1200.8860547401532
Ferenc Puskás,5,4,10,0.284789644012945,0.23624595469255663,1333.0
Dorival Silvestre Júnior,4,6,10,0.23920331566706066,0.30649528706538753,953.4278101824955
Néstor Gabriel Lorenzo,4,6,10,0.2373678873282869,0.33055094539849333,1004.7984964547979
Heimir Hallgrímsson,4,6,10,0.24612768732694162,0.30091360316384574,956.3984595920438
Fernando Ariel Batista,5,6,10,0.25538564518069196,0.310995175635993,1022.4038362786733
Marcelo Alberto Bielsa Caldera,5,6,10,0.25160028787933264,0.3085934173157875,1001.368944738593
Antônio Carlos Zago,4,7,10,0.23993418232317493,0.3636485595509229,939.0789071600748
Jorge Daniel Fossati Lurachi,5,7,10,0.25819204095416237,0.35378246535526015,970.7334811569482
Ricardo Alberto Gareca Nardi,4,6,10,0.2465012556102002,0.30655348218757966,996.7191706187173
Félix Sánchez Bas,4,6,10,0.2366187526174025,0.3177079604433708,968.5576520814996
Lionel Sebastián Scaloni,4,6,10,0.24026701775773213,0.31888459680341374,983.0982072855916
Daniel Oscar Garnero,4,6,10,0.24097864791819315,0.3096978950685113,959.4480401391902
Gregg Berhalter,4,6,10,0.23866728537006263,0.3091841886075732,915.6264553615173
Jaime Arturo Lozano Espín,4,5,10,0.2274204043595081,0.2983068992805123,1056.3182425803038
Jesse Marsch,5,6,10,0.25754661538101237,0.31656906769753157,1001.7365640861739
Gustavo Julio Alfaro,4,7,10,0.24724415088288768,0.3597534423901567,956.888321037945
Thomas Christiansen Tarín,4,6,10,0.2473305202279909,0.30648248705461545,873.5962604130781
John Herdman,5,6,10,0.254659011142372,0.34412123991759397,971.9392011705755
Walid Regragui,4,7,10,0.24191324880260429,0.3600104007123584,976.1903767990665
Gareth Southgate,4,6,10,0.22020748914342603,0.3414613453746575,865.8919503105272
Carlos Manuel Brito Leal Queiróz,4,6,10,0.24441854461623438,0.33329828866710126,968.6678515378529
Zlatko Dalić,4,6,10,0.2236092559579854,0.34833942758630676,944.6309971133376
Roberto Martínez Montoliú,4,7,10,0.2309351649124981,0.3924103412676305,994.1707719957247
Hajime Moriyasu,4,6,10,0.2194736060634208,0.32235268905065273,902.6942977104098
Robert Page,4,6,10,0.2414170039357502,0.32853117273629634,943.1225469355545
Jalel Kadri,4,6,10,0.23449479635278758,0.3327760727539208,1086.1032977016578
Murat Yakin,4,7,10,0.23017381314447993,0.3667449702313609,924.4010438257332
Rigobert Song Bahanag,5,7,10,0.2513863216266174,0.378003696857671,937.0
Fernando Manuel Fernandes da Costa Santos,4,6,10,0.24281784047898972,0.34866234837262855,961.9619881641784
Otto Addo,4,7,10,0.24166666666666667,0.3509259259259259,1060.0
Aliou Cissé,4,7,10,0.23771427558317204,0.35737652648200674,990.9204836912996
Czesław Michniewicz,4,6,10,0.24306581842450178,0.3374583519900148,937.7775984832732
Hervé Renard,4,6,10,0.2396618202385359,0.33487601428505004,1079.6952282372656
Kasper Hjulmand,4,6,10,0.22413888301146837,0.326232750568692,898.4079595302612
Hans-Dieter Flick,4,5,10,0.2490851719409884,0.2911768890614185,1010.6101978783315
Gerardo Daniel Martino,4,6,10,0.23387359267695867,0.32160411626664426,974.9203654271914
Adenor Leonardo Bacchi,4,6,10,0.22338296062929394,0.34833439666905713,950.4781346763131
Luis Fernando Suárez Guzman,4,5,10,0.24440898575282827,0.29614568120757473,997.6044994970097
Dragan Stojković,4,6,10,0.22062334327254857,0.3337110792624185,878.9778899947145
Graham James Arnold,4,6,10,0.22811895355305814,0.3322114570613476,1026.5037286621314
Diego Martín Alonso López,4,6,10,0.22265246853823814,0.3107454017424976,878.0
Paulo Jorge Gomes Bento,4,6,10,0.22265246853823814,0.3107454017424976,878.0
Hoalid Regragui,5,6,10,0.25612244897959185,0.3193877551020408,995.0
Akira Nishino,4,6,10,0.2244474034568705,0.34752767920841987,932.7526987836776
Hernán Darío Gómez Jaramillo,4,6,10,0.2376235005882022,0.3205498287605813,897.2816390996678
Adam Nawałka,4,6,10,0.22643441472203396,0.3305077430661179,979.7603806814086
Mladen Krstajić,4,6,10,0.2365218944113187,0.31734854341408253,1054.9145006430256
Vladimir Petković,4,7,10,0.24686430621238617,0.353714103012288,1136.1809896139046
Jan Olof Andersson,4,6,10,0.23333499953924697,0.3456331981750404,949.1381588493903
Tae-Yong Shin,4,6,10,0.23460082718424524,0.33687231244336974,1042.0427496784873
Joachim Löw,4,7,10,0.24574287021450053,0.3710148768496581,931.4392043809997
Juan Carlos Osorio Arbeláez,5,7,10,0.2688924797458917,0.37458640713669705,1064.9202008642228
Fernando Ruiz Hierro,4,7,10,0.23369596872054774,0.37538840261468875,892.6448739104292
Óscar Washington Tabárez Silva,4,6,10,0.2315330701246917,0.3289535377307072,996.6766739491628
Juan Antonio Pizzi Torroja,4,6,10,0.21682551211369383,0.34265166403206093,1018.9086976584313
Jorge Luis Sampaoli Moya,4,7,10,0.22241179451702717,0.37929198382241736,914.4669591650481
José Néstor Pekerman,4,6,10,0.24528536844307233,0.3098356360197613,1081.0166410756472
Nabil Maâloul,4,6,10,0.23196666740061475,0.3394343051829694,973.1139965706237
Stanislav Cherchesov,4,7,10,0.24463979933916807,0.3733397313468954,1048.6791837253197
Héctor Raúl Cúper,4,6,10,0.22103265375466705,0.3159148121115241,1062.656660810574
Óscar Antonio Ramírez Hernández,5,6,10,0.25830992036903455,0.32778778160162375,984.3693759824
Åge Fridtjof Hareide,4,5,10,0.23595505617977527,0.28330658105939005,1214.0
Gernot Rohr,4,6,10,0.23835745363932942,0.3011486058282987,992.4344507098972
Lambertus van Marwijk,5,7,10,0.26165120060886443,0.38968275608382397,980.0569982853119
Sebastião Barroso Lazaroni,5,5,10,0.2749691738594328,0.25770653514180025,1181.0
Carlos Salvador Bilardo,5,5,10,0.2717259161501003,0.2533122078691909,1163.1342877301818
Guy Thys,5,4,10,0.2809917355371901,0.20661157024793386,1067.0
Franz Beckenbauer,5,4,10,0.26695526695526695,0.22655122655122656,1093.0
Bobby Robson,4,5,10,0.23472920978162984,0.29051361043692353,1159.4673646853034
Georg Buschner,5,5,10,0.2528023127884435,0.2736474968902791,1084.8609930497073
Helmut Schön,5,5,10,0.27717222330770624,0.26861332084816414,1114.0829267003915
Mário Jorge Lobo Zagallo,5,5,10,0.2617410963016033,0.2570883915719582,1174.5158662419672
Vladislao Wenceslao Cap,6,6,10,0.3139784946236559,0.3053763440860215,1213.0
Alfred Ernest Ramsey,5,6,10,0.296794208893485,0.344364012409514,1229.0
Waldyr Pereira,5,4,10,0.2908530318602261,0.23535457348406988,1203.0000000000002
Angelo Niculescu,5,5,10,0.2837209302325581,0.291860465116279,1195.0
Ferruccio Valcareggi,5,5,10,0.27307692307692305,0.27564102564102566,1063.0
Juan Eduardo Hohberg,6,6,10,0.3022700119474313,0.34050179211469533,1155.0
Jozef Marko,6,5,10,0.30217391304347824,0.2826086956521739,1265.0
Aymoré Moreira,6,4,10,0.3018065887353879,0.2199787460148778,1384.0
Ignacio Trelles,6,4,10,0.3018065887353879,0.2199787460148778,1384.0
Vicente Ítalo Feola,5,5,10,0.2823163415199053,0.2651055413056451,1487.52612480352
George Raynor,5,5,10,0.2913978494623656,0.27204301075268816,1493.0
Albert Batteux,5,5,10,0.27314814814814814,0.25810185185185186,1482.0
Pablo Javier Machín Díez,4,6,10,0.22942455073281223,0.3028038722704662,1000.8458232084381
Ronald Koeman,4,6,10,0.23423361339496723,0.32676623415217204,892.110832717799
Diego Martínez Penas,4,6,10,0.22309024261842328,0.3071339262689166,879.9772539909951
Eduardo Germán Coudet,4,6,10,0.22148209825145712,0.33305578684429643,1132.0
Manuel Luis Pellegrini Ripamonti,4,6,10,0.24856265998769944,0.3244421974249542,935.6536599403753
Jagoba Arrasate Elustondo,4,6,10,0.2354001620822221,0.33730669013053904,1015.9923069202334
Francisco José López Fernández,4,7,10,0.24303297795509335,0.35978191692267436,979.560593674044
Unai Emery Etxegoien,4,6,10,0.22440429337578754,0.3228549379925691,987.3108843374577
Óscar García Junyent,4,6,10,0.2265538792243226,0.31731547584338504,1010.6662508833136
Miguel Ángel Sánchez Muñoz,5,6,10,0.25144819818359365,0.3220759664376832,1013.3202742784371
Julen Lopetegui Argote,4,6,10,0.22992061809884964,0.3378388372070163,988.8822662752415
José Bordalás Jiménez,4,6,10,0.21576863582379988,0.3198214445665201,862.702567596356
Javier Gracia Carlos,4,6,10,0.22693199392322258,0.33729469121669925,920.1428280592507
Juan José Rojo Martín,4,6,10,0.20633750921149593,0.344141488577745,1080.0
Imanol Alguacil Barrenetxea,4,6,10,0.22945403366843328,0.31190373359705026,1005.2283575435657
Sergio González Soriano,4,6,10,0.2427786461882053,0.3418004167802054,1070.3809614490578
Álvaro Cervera Díaz,4,5,10,0.2255849979577224,0.28080682936415874,951.196615005094
Marcelino García Toral,4,6,10,0.2385942278673604,0.3446932896945558,999.3021718330309
Abelardo Fernández Antuña,4,6,10,0.2322607290556242,0.3091858359739629,897.0936486923692
Francisco Escriba Segura,4,6,10,0.22486226725931222,0.3352218557618596,869.2068462298148
Enrique Setién Solar,4,6,10,0.23054214918706606,0.3237231882353492,967.3042271079084
José Luis Mendilibar Etxebarria,4,6,10,0.22994711609015347,0.3461271653383096,1035.2029966640964
Javier Aguirre Onaindía,4,7,10,0.21796938502873267,0.3622525367665202,941.6378782405964
Ernesto Valverde Tejedor,4,6,10,0.23935086709116762,0.3354058503622526,1014.7738979732608
Javier Calleja Revilla,4,7,10,0.23181708735785136,0.3522112486736767,981.424856976144
Vicente Moreno Peris,4,5,10,0.23816123891179344,0.2990815239988529,1009.0618575607507
Albert Celades López,4,7,10,0.2221297836938436,0.3618968386023294,868.0
Juan Ramón López Muñiz,4,6,10,0.24400716444657872,0.3132306453364867,945.4424945545629
Gaizka Garitano Aguirre,4,6,10,0.22627375864851956,0.30122926255178323,981.1902812845606
Francisco Joaquín Pérez Rufete,4,6,10,0.22530329289428075,0.33015597920277295,832.0
Joan Francesc Ferrer Sicilia,4,6,10,0.247494226839649,0.34517458468173096,964.201813421046
Asier Garitano Aguirrezábal,4,6,10,0.23088895565502804,0.3289570909206371,1008.7979426563805
Mauricio Pellegrino,4,6,10,0.23937997791039173,0.3277035859262835,1015.6956006821804
José Miguel Azevedo Cardoso,4,6,10,0.24732142857142858,0.3455357142857143,1095.0
Eusebio Sacristán Mena,4,6,10,0.24905395885555964,0.33960659295989987,1049.9201671201974
Leonardo Neoren Franco,4,6,10,0.24108003857280616,0.3114754098360656,819.0
"José Ignacio Fernández García, José Bordalás Jiménez",4,7,10,0.23244147157190637,0.3887959866220736,965.0
Manuel Eduardo Berizzo,4,5,10,0.23472651525734348,0.289986269485886,1107.0293896904857
Santiago Hernán Solari Poggio,4,6,10,0.2471590909090909,0.3106060606060606,1082.0
Clarence Seedorf,5,7,10,0.2628475147430497,0.3605728727885425,1013.0000000000001
José Ángel Ziganda Lacunza,4,6,10,0.23873595225791333,0.34760100858025345,1149.8894915369167
Francisco Jémez Martín,4,6,10,0.24128125625802369,0.3244184571888986,1120.8834623607559
Francisco Martín Ayestarán Barandiarán,5,6,10,0.252806493006449,0.3298259005386559,1071.0004520815232
"Eder Sarabia Armesto, Enrique Setién Solar",4,7,10,0.23713235294117646,0.3667279411764705,1084.0
Enrique Sánchez Flores,4,6,10,0.22637781575845778,0.32977062717580624,1070.2826946753075
Juan Carlos Unzué Labiano,4,6,10,0.23537581724893383,0.3375050368522488,1070.2793842204237
Vincenzo Montella,4,7,10,0.22532278557203606,0.3612192199404279,913.2053119407731
